gene_symbol	MANE_transcript	ClinVar_PL_record_count	cds_count	splice_window_10bp_count	utr_count	intron_count	exon_count	unit_count	best_single_exon_unit_id	best_single_exon_coverage_fraction	best_single_exon_donor_size_bp	best_adjacent_exon_block_unit_id	best_adjacent_exon_block_coverage_fraction	best_adjacent_exon_block_donor_size_bp	best_downstream_CDS_implantation_unit_id	best_downstream_CDS_implantation_coverage_fraction	best_downstream_CDS_implantation_donor_size_bp	semantic_class_prePAExact	mechanism_or_context_caution_class	semantic_panel_role	semantic_note	mode_recommendation_status	interpretation_limit	not_total_score
ERCC4	ENST00000311895.8	66	56	14	0	10	11	55	ERCC4:single_exon:E8	0.212121	598	ERCC4:exon_block:E4-E8	0.515152	1227	ERCC4:downstream_CDS_implantation:after_E1	0.909091	2541	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERCC5	ENST00000652225.2	75	68	15	0	7	15	79	ERCC5:single_exon:E8	0.226667	1074	ERCC5:exon_block:E7-E11	0.466667	1861	ERCC5:downstream_CDS_implantation:after_E1	0.973333	3470	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERCC6	ENST00000355832.10	349	284	91	0	65	21	115	ERCC6:single_exon:E18	0.177650	708	ERCC6:exon_block:E15-E19	0.332378	1274	ERCC6:downstream_CDS_implantation:after_E1	1.000000	4479	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERCC6L2	ENST00000653738.2	59	52	9	1	6	19	103	ERCC6L2:single_exon:E16	0.271186	1156	ERCC6L2:exon_block:E14-E18	0.508475	1727	ERCC6L2:downstream_CDS_implantation:after_E1	0.949153	4604	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERCC8	ENST00000676185.1	126	92	51	0	32	12	61	ERCC8:single_exon:E4	0.142857	124	ERCC8:exon_block:E3-E7	0.500000	444	ERCC8:downstream_CDS_implantation:after_E1	0.952381	1111	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERF	ENST00000222329.9	55	53	5	0	2	4	13	ERF:single_exon:E4	0.600000	2170	ERF:exon_block:E1-E4	0.981818	2672	ERF:downstream_CDS_implantation:after_E1	0.963636	1622	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERG	ENST00000288319.12	3	3	1	0	0	10	49	ERG:single_exon:E5	0.333333	81	ERG:exon_block:E4-E5	0.666667	285	ERG:downstream_CDS_implantation:after_E3	1.000000	1049	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERGIC1	ENST00000393784.8	2	2	0	0	0	10	49	ERGIC1:single_exon:E5	0.500000	125	ERGIC1:exon_block:E4-E5	0.500000	220	ERGIC1:downstream_CDS_implantation:after_E4	1.000000	620	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERGIC2	ENST00000360150.9	1	0	1	0	1	14	73	ERGIC2:single_exon:E8	1.000000	96	ERGIC2:exon_block:E8-E9	1.000000	152	ERGIC2:downstream_CDS_implantation:after_E8	1.000000	559	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERGIC3	ENST00000348547.7	1	1	0	0	0	13	67	ERGIC3:single_exon:E10	1.000000	65	ERGIC3:exon_block:E9-E10	1.000000	162	ERGIC3:downstream_CDS_implantation:after_E9	1.000000	335	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERI1	ENST00000250263.8	13	12	1	0	1	7	31	ERI1:single_exon:E3	0.307692	211	ERI1:exon_block:E3-E7	0.923077	4067	ERI1:downstream_CDS_implantation:after_E2	0.923077	760	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERLEC1	ENST00000185150.9	4	4	3	0	0	14	73	ERLEC1:single_exon:E4	0.500000	78	ERLEC1:exon_block:E4-E5	0.500000	142	ERLEC1:downstream_CDS_implantation:after_E3	1.000000	1101	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERLIN1	ENST00000421367.7	5	4	2	0	1	11	55	ERLIN1:single_exon:E4	0.400000	62	ERLIN1:exon_block:E2-E4	0.800000	191	ERLIN1:downstream_CDS_implantation:after_E1	1.000000	931	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERLIN2	ENST00000519638.3	34	29	15	0	5	12	61	ERLIN2:single_exon:E6	0.176471	126	ERLIN2:exon_block:E4-E8	0.500000	368	ERLIN2:downstream_CDS_implantation:after_E1	1.000000	1017	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERMAP	ENST00000372517.8	1	1	0	0	0	12	61	ERMAP:single_exon:E4	1.000000	348	ERMAP:exon_block:E3-E4	1.000000	438	ERMAP:downstream_CDS_implantation:after_E3	1.000000	1340	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ERMARD	ENST00000366773.8	4	2	2	0	2	18	97	ERMARD:single_exon:E6	0.250000	98	ERMARD:exon_block:E3-E6	0.500000	430	ERMARD:downstream_CDS_implantation:after_E2	1.000000	1859	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESAM	ENST00000278927.10	7	4	3	0	3	7	31	ESAM:single_exon:E3	0.285714	202	ESAM:exon_block:E1-E5	0.857143	866	ESAM:downstream_CDS_implantation:after_E1	0.857143	1100	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESCO2	ENST00000305188.13	155	128	41	0	27	11	55	ESCO2:single_exon:E3	0.470968	808	ESCO2:exon_block:E3-E7	0.741935	1210	ESCO2:downstream_CDS_implantation:after_E1	1.000000	1803	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESPN	ENST00000645284.1	26	21	10	0	5	13	67	ESPN:single_exon:E13	0.230769	946	ESPN:exon_block:E9-E13	0.615385	1448	ESPN:downstream_CDS_implantation:after_E1	0.884615	2268	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESR1	ENST00000206249.8	6	4	0	0	1	8	37	ESR1:single_exon:E5	0.333333	139	ESR1:exon_block:E2-E6	0.666667	917	ESR1:downstream_CDS_implantation:after_E1	1.000000	1333	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESR2	ENST00000341099.6	1	1	0	0	0	9	43	ESR2:single_exon:E5	1.000000	300	ESR2:exon_block:E4-E5	1.000000	417	ESR2:downstream_CDS_implantation:after_E4	1.000000	938	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESRP1	ENST00000433389.8	2	2	0	0	0	16	84	ESRP1:single_exon:E7	0.500000	111	ESRP1:exon_block:E7-E8	1.000000	244	ESRP1:downstream_CDS_implantation:after_E6	1.000000	1399	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESRP2	ENST00000473183.7	2	2	1	0	0	15	79	ESRP2:single_exon:E8	0.500000	133	ESRP2:exon_block:E8-E12	1.000000	890	ESRP2:downstream_CDS_implantation:after_E7	1.000000	1330	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESRRB	ENST00000644823.1	25	20	4	2	3	7	31	ESRRB:single_exon:E6	0.320000	270	ESRRB:exon_block:E3-E7	0.960000	4284	ESRRB:downstream_CDS_implantation:after_E1	1.000000	1312	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESRRG	ENST00000408911.8	5	5	0	0	0	7	31	ESRRG:single_exon:E3	0.400000	117	ESRRG:exon_block:E3-E7	0.800000	4593	ESRRG:downstream_CDS_implantation:after_E1	1.000000	1318	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ESX1	ENST00000372588.4	1	1	0	0	0	4	13	ESX1:single_exon:E4	1.000000	859	ESX1:exon_block:E3-E4	1.000000	905	ESX1:downstream_CDS_implantation:after_E3	1.000000	666	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETFA	ENST00000557943.6	87	62	39	1	24	12	61	ETFA:single_exon:E7	0.172414	102	ETFA:exon_block:E3-E7	0.666667	478	ETFA:downstream_CDS_implantation:after_E1	0.942529	960	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETFB	ENST00000309244.9	39	29	15	0	10	6	25	ETFB:single_exon:E2	0.358974	159	ETFB:exon_block:E2-E6	0.923077	753	ETFB:downstream_CDS_implantation:after_E1	0.974359	708	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETFDH	ENST00000511912.6	301	254	78	0	47	13	67	ETFDH:single_exon:E3	0.136213	230	ETFDH:exon_block:E9-E13	0.471761	1978	ETFDH:downstream_CDS_implantation:after_E1	0.983389	1817	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETHE1	ENST00000292147.7	97	74	38	0	23	7	31	ETHE1:single_exon:E4	0.247423	130	ETHE1:exon_block:E1-E5	0.865979	619	ETHE1:downstream_CDS_implantation:after_E1	0.814433	681	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETS1	ENST00000392668.8	2	2	0	0	0	10	49	ETS1:single_exon:E3	0.500000	145	ETS1:exon_block:E2-E3	0.500000	228	ETS1:downstream_CDS_implantation:after_E2	1.000000	1386	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETV2	ENST00000402764.6	2	2	0	0	0	7	31	ETV2:single_exon:E6	0.500000	113	ETV2:exon_block:E5-E6	1.000000	593	ETV2:downstream_CDS_implantation:after_E4	1.000000	791	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETV4	ENST00000319349.10	1	1	0	0	0	13	67	ETV4:single_exon:E13	1.000000	898	ETV4:exon_block:E12-E13	1.000000	1000	ETV4:downstream_CDS_implantation:after_E12	1.000000	222	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETV5	ENST00000306376.10	1	1	0	0	0	13	67	ETV5:single_exon:E7	1.000000	288	ETV5:exon_block:E6-E7	1.000000	418	ETV5:downstream_CDS_implantation:after_E6	1.000000	1168	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
ETV6	ENST00000396373.9	55	40	18	0	15	8	37	ETV6:single_exon:E5	0.254545	546	ETV6:exon_block:E3-E7	0.854545	1090	ETV6:downstream_CDS_implantation:after_E1	1.000000	1323	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EVC	ENST00000264956.11	320	251	103	3	65	21	115	EVC:single_exon:E1	0.128125	354	EVC:exon_block:E6-E10	0.300000	762	EVC:downstream_CDS_implantation:after_E1	0.875000	2802	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EVC2	ENST00000344408.10	336	269	94	0	67	22	121	EVC2:single_exon:E14	0.110119	455	EVC2:exon_block:E10-E14	0.339286	1356	EVC2:downstream_CDS_implantation:after_E1	0.931548	3696	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EVI2A	ENST00000462804.3	3	0	0	0	0	2	4	EVI2A:single_exon:E1	0.000000	128	EVI2A:exon_block:E1-E2	0.000000	2742	EVI2A:downstream_CDS_implantation:after_E1	0.000000	708	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EVX2	ENST00000308618.5	1	0	0	0	0	3	8	EVX2:single_exon:E2	0.000000	272	EVX2:exon_block:E1-E2	0.000000	885	EVX2:downstream_CDS_implantation:after_E2	1.000000	729	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXO1	ENST00000366548.8	1	1	0	0	0	16	85	EXO1:single_exon:E4	1.000000	178	EXO1:exon_block:E3-E4	1.000000	283	EXO1:downstream_CDS_implantation:after_E1	1.000000	2538	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOC2	ENST00000230449.9	1	1	0	0	0	28	157	EXOC2:single_exon:E16	1.000000	122	EXOC2:exon_block:E16-E17	1.000000	184	EXOC2:downstream_CDS_implantation:after_E15	1.000000	1105	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOC3L2	ENST00000413988.3	3	3	1	0	0	12	61	EXOC3L2:single_exon:E5	0.333333	102	EXOC3L2:exon_block:E5-E7	0.666667	314	EXOC3L2:downstream_CDS_implantation:after_E4	1.000000	1137	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOC4	ENST00000253861.5	1	1	1	0	0	18	97	EXOC4:single_exon:E11	1.000000	220	EXOC4:exon_block:E10-E11	1.000000	317	EXOC4:downstream_CDS_implantation:after_E10	1.000000	1408	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOC6B	ENST00000272427.11	13	8	6	0	5	22	121	EXOC6B:single_exon:E8	0.230769	69	EXOC6B:exon_block:E7-E11	0.461538	498	EXOC6B:downstream_CDS_implantation:after_E3	1.000000	2106	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOC7	ENST00000589210.6	5	4	2	0	1	19	103	EXOC7:single_exon:E7	0.200000	93	EXOC7:exon_block:E7-E9	0.600000	392	EXOC7:downstream_CDS_implantation:after_E2	1.000000	1926	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOC8	ENST00000366645.1	2	2	0	0	0	1	1	EXOC8:single_exon:E1	1.000000	5100							low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOSC1	ENST00000370902.8	1	1	0	0	0	8	37	EXOSC1:single_exon:E2	1.000000	116	EXOSC1:exon_block:E1-E2	1.000000	168	EXOSC1:downstream_CDS_implantation:after_E1	1.000000	554	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOSC2	ENST00000372358.10	2	2	0	0	0	9	43	EXOSC2:single_exon:E7	1.000000	177	EXOSC2:exon_block:E6-E7	1.000000	246	EXOSC2:downstream_CDS_implantation:after_E6	1.000000	384	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOSC3	ENST00000327304.10	50	46	7	0	4	4	13	EXOSC3:single_exon:E1	0.460000	344	EXOSC3:exon_block:E1-E4	1.000000	1813	EXOSC3:downstream_CDS_implantation:after_E1	0.540000	501	compact_adjacent_exon_block_opportunity	compact_exon_block	primary_metric_specific_candidate_panel	adjacent exon/block unit captures meaningful record burden	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOSC5	ENST00000221233.9	6	5	2	0	1	6	25	EXOSC5:single_exon:E3	0.333333	122	EXOSC5:exon_block:E3-E6	0.833333	705	EXOSC5:downstream_CDS_implantation:after_E2	0.833333	443	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOSC8	ENST00000389704.4	2	2	0	0	0	11	55	EXOSC8:single_exon:E1	0.500000	37	EXOSC8:exon_block:E1-E2	0.500000	74	EXOSC8:downstream_CDS_implantation:after_E5	0.500000	590	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXOSC9	ENST00000243498.10	31	23	10	0	8	12	61	EXOSC9:single_exon:E10	0.258065	182	EXOSC9:exon_block:E7-E11	0.516129	630	EXOSC9:downstream_CDS_implantation:after_E1	0.935484	1251	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXPH5	ENST00000265843.9	15	15	0	0	0	6	25	EXPH5:single_exon:E6	0.866667	9441	EXPH5:exon_block:E3-E6	0.933333	9792	EXPH5:downstream_CDS_implantation:after_E2	0.933333	5687	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXT1	ENST00000378204.7	516	440	117	1	75	11	55	EXT1:single_exon:E1	0.414729	1742	EXT1:exon_block:E1-E5	0.684109	2197	EXT1:downstream_CDS_implantation:after_E1	0.596899	1276	compact_adjacent_exon_block_opportunity	compact_exon_block	primary_metric_specific_candidate_panel	adjacent exon/block unit captures meaningful record burden	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXT2	ENST00000533608.7	221	182	70	0	39	14	73	EXT2:single_exon:E2	0.266968	566	EXT2:exon_block:E2-E6	0.692308	1109	EXT2:downstream_CDS_implantation:after_E1	1.000000	2154	compact_downstream_CDS_implantation_opportunity	downstream_CDS_compact	primary_metric_specific_candidate_panel	compact downstream-CDS record-coverage hypothesis; not functional rescue	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
EXTL3	ENST00000220562.9	2	2	0	0	0	7	31	EXTL3:single_exon:E3	1.000000	2623	EXTL3:exon_block:E2-E3	1.000000	2717	EXTL3:downstream_CDS_implantation:after_E1	1.000000	2757	low_record_burden_interpretation_limited	low_record_burden	computed_but_semantic_interpretation_limited	ClinVar_PL_count_lt_20	pending_PAExact_constraints	ClinVar_record_count_not_patient_coverage; semantic_class_not_therapeutic_suitability; no_PA_mode_recommendation_no_efficiency_no_safety	true
